text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description,target,cleaned_text
69,69,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,
@55,ass,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,
@ssfcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,ssfcker
@ssfucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,ssfucker
@ssfvcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.4,Strong,sexual anatomy / sexual acts_Strong,ssfvcker
@sshole,ass,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,sshole
0ral seks,sex,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,ral seks
0ral sex,sex,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,ral sex
0rg@sm,orgasm,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,rgsm
0rgasms,orgasm,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,rgasms
3jakulating,ejaculation,,,sexual anatomy / sexual acts,bodily fluids / excrement,none,1.6,Strong,sexual anatomy / sexual acts_Strong,jakulating
4r5e,arse,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,
4r5ed,arse,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,red
4r5es,arse,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,re
4skin,foreskin,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,skin
5h17,shit,,,bodily fluids / excrement,none,none,1.0,Mild,bodily fluids / excrement_Mild,h
5h1t,shit,,,bodily fluids / excrement,none,none,1.0,Mild,bodily fluids / excrement_Mild,ht
5kank,skank,,,sexual orientation / gender,none,none,2.0,Strong,sexual orientation / gender_Strong,kank
a_s_s,ass,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,as
abbie,abraham,,,racial / ethnic slurs,none,none,1.2,Mild,racial / ethnic slurs_Mild,abbie
abeed,abeed,,,racial / ethnic slurs,none,none,1.8,Strong,racial / ethnic slurs_Strong,abeed
aboe,abo,,,racial / ethnic slurs,none,none,1.0,Mild,racial / ethnic slurs_Mild,aboe
anal,anal,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,anal
anal hole,anal,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,anal hole
anal hore,anal,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,anal hore
